priority_rank,transaction_id,customer_id,amount,payment_method,payment_status,failure_reason,previous_transactions,previous_successes,previous_failures,previous_success_rate,retry_count,days_since_failure,checkout_abandoned,customer_lifetime_value,recovered,amount_log,recovery_probability,expected_recovery,revenue_at_risk,priority_score
1,txn_008859,cust_01033,31222.57,wallet,abandoned,none,26,21,5,0.8077,0,0.64,1,100719.12,1,10.34892853730777,0.5279233695704092,16483.124361047972,31222.57,16483.124361047972
2,txn_006656,cust_01540,44966.65,wallet,abandoned,none,17,15,2,0.8824,0,5.27,1,127786.14,0,10.713698621339043,0.3619874817302534,16277.3643953457,44966.65,16277.3643953457
3,txn_006480,cust_02129,39519.08,upi,failed,technical_error,3,3,0,1.0,1,4.03,0,83187.51,0,10.584564176151254,0.4057301845058689,16034.083619902194,39519.08,16034.083619902194
4,txn_002714,cust_00297,24213.95,wallet,abandoned,none,11,11,0,1.0,0,3.84,1,144743.4,0,10.094725489999352,0.5072124052817493,12281.615820872014,24213.95,12281.615820872014
5,txn_008357,cust_01912,20380.03,netbanking,abandoned,none,32,30,2,0.9375,0,2.47,1,17827.68,1,9.922359845244474,0.5760017283897221,11738.932504634387,20380.03,11738.932504634387
6,txn_005953,cust_01938,43899.03,upi,failed,technical_error,27,21,6,0.7778,2,2.72,0,6338.96,0,10.689670282434328,0.23667264642775548,10389.69960571143,43899.03,10389.69960571143
7,txn_004025,cust_00308,20820.83,card,abandoned,none,22,18,4,0.8182,0,3.39,1,2885.17,0,9.943757234559913,0.49021198442702085,10206.62039171765,20820.83,10206.62039171765
8,txn_007423,cust_00483,13223.44,wallet,abandoned,none,24,21,3,0.875,0,2.39,1,65172.33,1,9.489821911784597,0.5763871651117198,7621.821094624921,13223.44,7621.821094624921
9,txn_008793,cust_01172,13275.52,wallet,failed,insufficient_funds,4,4,0,1.0,0,4.91,0,93057.45,1,9.493752340497027,0.5379532010669272,7141.608479828014,13275.52,7141.608479828014
10,txn_005672,cust_00609,12826.69,upi,abandoned,none,31,26,5,0.8387,0,3.05,1,11002.86,1,9.459361394633923,0.5550465195110852,7119.409641347642,12826.69,7119.409641347642
11,txn_006498,cust_01193,11728.43,wallet,abandoned,none,1,1,0,1.0,0,3.18,1,105723.93,1,9.369856347116443,0.6039013928914588,7082.815213429973,11728.43,7082.815213429973
12,txn_003355,cust_00669,11473.38,upi,abandoned,none,7,6,1,0.8571,0,1.49,1,37254.15,1,9.347872002967957,0.6103624961057087,7002.920855569316,11473.38,7002.920855569316
13,txn_003173,cust_02143,10880.4,wallet,abandoned,none,10,9,1,0.9,0,0.82,1,110652.05,1,9.294810188602415,0.6293531588963822,6847.614110056197,10880.4,6847.614110056197
14,txn_001739,cust_00772,12202.39,netbanking,abandoned,none,31,23,8,0.7419,0,0.46,1,67841.62,0,9.409469060975407,0.5452979498119306,6653.938249805603,12202.39,6653.938249805603
15,txn_004006,cust_01975,11700.19,card,abandoned,none,21,18,3,0.8571,0,1.99,1,76112.41,0,9.367445825015507,0.5512132857450783,6449.300173741708,11700.19,6449.300173741708
16,txn_000274,cust_00290,9332.01,wallet,failed,network_error,2,2,0,1.0,0,4.22,0,93579.01,0,9.14131285703201,0.6895799386943999,6435.166883695527,9332.01,6435.166883695527
