transaction_id,customer_id,amount,payment_method,payment_status,failure_reason,previous_transactions,previous_successes,previous_failures,previous_success_rate,retry_count,days_since_failure,checkout_abandoned,customer_lifetime_value,recovered
txn_000001,cust_00291,642.43,upi,abandoned,none,16,14,2,0.875,0,1.54,1,19806.93,1
txn_000002,cust_00328,5143.47,wallet,failed,insufficient_funds,39,24,15,0.6154,2,7.86,0,105476.38,0
txn_000003,cust_01704,700.25,netbanking,failed,insufficient_funds,34,30,4,0.8824,2,7.45,0,120267.1,0
txn_000004,cust_01245,8615.97,upi,abandoned,none,11,10,1,0.9091,0,6.73,1,21687.17,1
txn_000005,cust_00947,1764.94,wallet,success,none,9,7,2,0.7778,0,0.0,0,49866.91,1
txn_000006,cust_01019,4775.88,card,success,none,1,1,0,1.0,0,0.0,0,45460.44,1
txn_000007,cust_00433,1503.35,netbanking,success,none,6,5,1,0.8333,0,0.0,0,34480.4,1
txn_000008,cust_01750,613.6,upi,success,none,34,24,10,0.7059,0,0.0,0,132020.56,1
txn_000009,cust_01645,1029.14,netbanking,success,none,22,19,3,0.8636,0,0.0,0,67547.86,1
txn_000010,cust_02458,334.7,wallet,abandoned,none,4,3,1,0.75,0,6.33,1,9906.49,0
txn_000011,cust_01330,1198.07,netbanking,success,none,8,7,1,0.875,0,0.0,0,52840.77,1
txn_000012,cust_01325,1590.96,card,success,none,21,19,2,0.9048,0,0.0,0,30364.07,1
txn_000013,cust_02254,1402.09,netbanking,success,none,3,3,0,1.0,0,0.0,0,54601.26,1
txn_000014,cust_01627,5065.24,upi,failed,network_error,28,26,2,0.9286,0,7.29,0,118984.54,0
txn_000015,cust_01237,1153.86,upi,success,none,36,25,11,0.6944,0,0.0,0,14866.57,1
txn_000016,cust_01290,201.54,upi,failed,network_error,22,21,1,0.9545,1,1.41,0,144891.8,1
txn_000017,cust_00640,46354.1,card,success,none,4,3,1,0.75,0,0.0,0,24181.41,1
txn_000018,cust_01024,671.42,card,success,none,30,20,10,0.6667,0,0.0,0,41652.73,1
txn_000019,cust_02337,3528.91,wallet,success,none,7,7,0,1.0,0,0.0,0,103890.93,1
txn_000020,cust_00317,297.6,netbanking,failed,bank_decline,30,20,10,0.6667,3,11.58,0,65900.6,0
txn_000021,cust_02361,1711.65,upi,success,none,29,27,2,0.931,0,0.0,0,117365.13,1
txn_000022,cust_02361,605.14,wallet,success,none,29,27,2,0.931,0,0.0,0,117365.13,1
txn_000023,cust_01370,100.0,netbanking,failed,authentication_failed,16,11,5,0.6875,3,13.03,0,32271.85,0
txn_000024,cust_00929,1009.48,upi,success,none,17,16,1,0.9412,0,0.0,0,109398.7,1
txn_000025,cust_00222,1274.02,netbanking,success,none,33,23,10,0.697,0,0.0,0,71504.74,1
txn_000026,cust_02314,1076.12,card,success,none,1,0,1,0.0,0,0.0,0,2761.18,1
txn_000027,cust_00628,1708.06,upi,success,none,18,11,7,0.6111,0,0.0,0,5314.02,1
txn_000028,cust_01826,1023.0,upi,success,none,4,3,1,0.75,0,0.0,0,1702.31,1
txn_000029,cust_01616,1435.33,card,success,none,22,16,6,0.7273,0,0.0,0,137766.53,1
txn_000030,cust_02341,1587.81,upi,success,none,22,19,3,0.8636,0,0.0,0,39705.6,1
txn_000031,cust_01633,1293.13,wallet,failed,bank_decline,12,10,2,0.8333,1,6.78,0,57379.23,1
txn_000032,cust_01620,1129.15,card,success,none,10,10,0,1.0,0,0.0,0,88404.77,1
txn_000033,cust_02148,548.04,card,success,none,3,3,0,1.0,0,0.0,0,100619.25,1
txn_000034,cust_01762,2427.08,netbanking,success,none,17,9,8,0.5294,0,0.0,0,112595.21,1
txn_000035,cust_00461,1009.29,wallet,success,none,3,2,1,0.6667,0,0.0,0,19810.69,1
txn_000036,cust_01314,930.92,netbanking,success,none,36,29,7,0.8056,0,0.0,0,64529.04,1
txn_000037,cust_01249,2235.67,card,abandoned,none,20,13,7,0.65,0,4.35,1,73150.47,0
txn_000038,cust_01812,1655.67,card,success,none,38,32,6,0.8421,0,0.0,0,44813.62,1
txn_000039,cust_00957,666.33,card,success,none,2,2,0,1.0,0,0.0,0,89939.53,1
txn_000040,cust_00352,4678.15,upi,failed,bank_decline,12,11,1,0.9167,1,12.18,0,46037.87,0
txn_000041,cust_00057,407.8,netbanking,success,none,30,22,8,0.7333,0,0.0,0,79838.04,1
txn_000042,cust_01844,477.48,wallet,success,none,20,12,8,0.6,0,0.0,0,142321.04,1
txn_000043,cust_02204,2613.26,card,success,none,9,6,3,0.6667,0,0.0,0,135395.73,1
txn_000044,cust_01060,7716.65,wallet,success,none,13,10,3,0.7692,0,0.0,0,86332.55,1
txn_000045,cust_00076,751.9,wallet,success,none,20,13,7,0.65,0,0.0,0,36678.39,1
txn_000046,cust_00179,2023.98,netbanking,success,none,10,9,1,0.9,0,0.0,0,138938.81,1
txn_000047,cust_01112,406.52,upi,success,none,12,10,2,0.8333,0,0.0,0,94272.98,1
txn_000048,cust_00273,529.01,wallet,success,none,30,16,14,0.5333,0,0.0,0,138011.7,1
txn_000049,cust_01476,4155.54,upi,success,none,6,5,1,0.8333,0,0.0,0,138769.54,1
txn_000050,cust_01584,1930.94,card,abandoned,none,36,29,7,0.8056,0,3.61,1,72375.61,0
txn_000051,cust_01293,4286.52,wallet,failed,technical_error,33,21,12,0.6364,0,2.69,0,112281.1,1
txn_000052,cust_01876,3969.16,upi,success,none,19,9,10,0.4737,0,0.0,0,24895.67,1
txn_000053,cust_01249,165.74,netbanking,success,none,20,13,7,0.65,0,0.0,0,73150.47,1
txn_000054,cust_00076,405.06,netbanking,success,none,20,13,7,0.65,0,0.0,0,36678.39,1
txn_000055,cust_01239,1762.48,card,abandoned,none,25,18,7,0.72,0,6.85,1,2838.75,1
txn_000056,cust_00254,245.41,netbanking,failed,insufficient_funds,21,14,7,0.6667,2,3.24,0,134061.0,0
txn_000057,cust_01610,466.7,card,success,none,13,11,2,0.8462,0,0.0,0,125667.83,1
txn_000058,cust_00932,5580.13,wallet,success,none,36,31,5,0.8611,0,0.0,0,30003.64,1
txn_000059,cust_01280,779.33,netbanking,success,none,39,27,12,0.6923,0,0.0,0,72405.97,1
txn_000060,cust_00568,2725.2,card,failed,network_error,36,25,11,0.6944,1,6.08,0,31866.45,0
txn_000061,cust_00595,1302.23,card,success,none,18,14,4,0.7778,0,0.0,0,94023.31,1
txn_000062,cust_00485,678.62,card,success,none,37,26,11,0.7027,0,0.0,0,102588.26,1
txn_000063,cust_00121,253.61,netbanking,failed,authentication_failed,30,23,7,0.7667,3,4.32,0,43502.14,0
txn_000064,cust_01122,1691.38,card,failed,insufficient_funds,4,4,0,1.0,1,2.67,0,84795.51,0
txn_000065,cust_01094,5736.51,card,success,none,10,8,2,0.8,0,0.0,0,42071.81,1
txn_000066,cust_00107,698.18,netbanking,success,none,22,17,5,0.7727,0,0.0,0,120288.28,1
txn_000067,cust_00550,1434.54,wallet,failed,network_error,35,30,5,0.8571,1,11.94,0,63449.89,0
txn_000068,cust_00564,293.01,card,success,none,39,38,1,0.9744,0,0.0,0,145692.9,1
txn_000069,cust_00062,683.91,netbanking,abandoned,none,22,20,2,0.9091,0,1.64,1,17621.27,1
txn_000070,cust_00831,1883.49,card,success,none,28,21,7,0.75,0,0.0,0,41908.75,1
txn_000071,cust_01800,2817.81,wallet,success,none,31,19,12,0.6129,0,0.0,0,136072.45,1
txn_000072,cust_01011,2335.42,wallet,success,none,15,11,4,0.7333,0,0.0,0,80737.69,1
txn_000073,cust_01559,175.64,netbanking,success,none,26,19,7,0.7308,0,0.0,0,128335.59,1
txn_000074,cust_02343,848.16,upi,success,none,17,16,1,0.9412,0,0.0,0,52276.9,1
txn_000075,cust_00174,509.14,card,success,none,3,2,1,0.6667,0,0.0,0,134939.77,1
txn_000076,cust_00161,983.36,wallet,success,none,17,13,4,0.7647,0,0.0,0,135895.14,1
txn_000077,cust_00202,1198.48,card,success,none,37,30,7,0.8108,0,0.0,0,29321.74,1
txn_000078,cust_01248,3890.73,netbanking,success,none,28,21,7,0.75,0,0.0,0,42118.32,1
txn_000079,cust_00224,1799.45,card,success,none,19,15,4,0.7895,0,0.0,0,77802.35,1
txn_000080,cust_00371,5529.39,upi,success,none,34,24,10,0.7059,0,0.0,0,57676.33,1
txn_000081,cust_02239,665.47,card,success,none,1,1,0,1.0,0,0.0,0,120851.03,1
txn_000082,cust_00103,324.71,card,success,none,23,19,4,0.8261,0,0.0,0,64113.21,1
txn_000083,cust_00828,5740.16,wallet,success,none,29,28,1,0.9655,0,0.0,0,53380.5,1
txn_000084,cust_00672,2066.18,upi,success,none,20,16,4,0.8,0,0.0,0,112124.92,1
txn_000085,cust_01487,636.97,upi,success,none,2,2,0,1.0,0,0.0,0,50916.64,1
txn_000086,cust_02096,2075.22,card,success,none,12,9,3,0.75,0,0.0,0,100975.71,1
txn_000087,cust_00700,3087.94,netbanking,success,none,21,18,3,0.8571,0,0.0,0,91145.87,1
txn_000088,cust_00615,1508.98,card,failed,bank_decline,8,6,2,0.75,0,5.93,0,62210.49,1
txn_000089,cust_01828,646.11,netbanking,success,none,11,8,3,0.7273,0,0.0,0,86865.56,1
txn_000090,cust_00539,861.55,card,success,none,36,31,5,0.8611,0,0.0,0,49872.94,1
txn_000091,cust_00051,1791.16,wallet,success,none,9,7,2,0.7778,0,0.0,0,76919.42,1
txn_000092,cust_00024,1634.17,wallet,success,none,5,4,1,0.8,0,0.0,0,7827.83,1
txn_000093,cust_01949,4501.92,wallet,success,none,8,6,2,0.75,0,0.0,0,15518.12,1
txn_000094,cust_02459,1016.47,upi,success,none,10,7,3,0.7,0,0.0,0,105497.89,1
txn_000095,cust_02284,510.93,card,success,none,34,17,17,0.5,0,0.0,0,80812.13,1
txn_000096,cust_01430,17624.66,upi,success,none,9,7,2,0.7778,0,0.0,0,96594.85,1
txn_000097,cust_02368,1594.78,netbanking,success,none,26,24,2,0.9231,0,0.0,0,16348.39,1
txn_000098,cust_00447,3084.86,wallet,abandoned,none,1,1,0,1.0,0,1.21,1,43143.01,1
txn_000099,cust_02437,2257.13,card,abandoned,none,7,5,2,0.7143,0,5.27,1,78649.73,1
txn_000100,cust_00147,1614.17,upi,failed,network_error,9,9,0,1.0,2,12.58,0,140055.65,0
txn_000101,cust_01751,1066.63,upi,success,none,2,2,0,1.0,0,0.0,0,26886.87,1
txn_000102,cust_01125,100.0,netbanking,success,none,17,15,2,0.8824,0,0.0,0,31297.17,1
txn_000103,cust_00857,462.56,upi,success,none,5,4,1,0.8,0,0.0,0,82949.57,1
txn_000104,cust_02167,1861.47,upi,success,none,15,12,3,0.8,0,0.0,0,12486.15,1
txn_000105,cust_01177,100.0,wallet,success,none,18,16,2,0.8889,0,0.0,0,80824.98,1
txn_000106,cust_02153,1438.88,netbanking,abandoned,none,21,17,4,0.8095,0,4.34,1,16380.53,1
txn_000107,cust_02039,2594.71,wallet,failed,technical_error,14,14,0,1.0,1,9.95,0,142595.93,0
txn_000108,cust_00007,3081.83,upi,success,none,33,30,3,0.9091,0,0.0,0,90700.79,1
txn_000109,cust_00484,2436.1,card,failed,authentication_failed,16,12,4,0.75,3,0.73,0,80143.78,0
txn_000110,cust_00870,3492.57,upi,success,none,27,13,14,0.4815,0,0.0,0,123677.57,1
txn_000111,cust_01043,6671.58,upi,success,none,30,27,3,0.9,0,0.0,0,46714.14,1
txn_000112,cust_01327,4008.28,upi,success,none,32,30,2,0.9375,0,0.0,0,79629.54,1
